label,total_count,train_count,validation_count,test_count
T1216.001,16,15,0,1
T1216.002,10,8,2,0
T1217,27,21,3,3
T1218,19,14,3,2
T1218.001,23,20,1,2
T1218.002,28,24,4,0
T1218.003,21,11,6,4
T1218.004,15,13,1,1
T1218.005,45,34,6,5
T1218.007,40,34,3,3
T1218.008,13,9,1,3
T1218.009,11,9,2,0
T1218.010,57,50,4,3
T1218.011,130,111,6,13
T1218.012,15,12,2,1
T1218.013,11,7,1,3
T1218.014,19,15,2,2
T1218.015,12,10,1,1
T1219,42,38,4,0
T1220,26,22,1,3
T1221,29,26,3,0
T1222,6,6,0,0
T1222.001,27,17,8,2
T1222.002,35,27,3,5
T1480,33,28,3,2
T1480.001,28,20,7,1
T1480.002,21,17,3,1
T1482,42,36,3,3
T1484,12,10,1,1
T1484.001,25,18,3,4
T1484.002,22,16,2,4
T1485,53,39,9,5
T1485.001,8,8,0,0
T1486,91,69,13,9
T1489,54,43,5,6
T1490,81,64,11,6
T1491,8,8,0,0
T1491.001,17,14,1,2
T1491.002,10,9,1,0
T1495,13,12,0,1
T1496,15,12,1,2
T1496.001,27,21,2,4
T1496.002,10,8,1,1
T1496.003,10,8,2,0
T1496.004,11,9,1,1
T1497,28,22,4,2
T1497.001,81,65,8,8
T1497.002,8,7,1,0
T1497.003,61,49,6,6
T1498,18,17,0,1
T1498.001,12,10,1,1
T1498.002,12,10,0,2
T1499,22,15,3,4
T1499.001,12,9,1,2
T1499.002,11,11,0,0
T1499.003,6,4,0,2
T1499.004,12,11,0,1
T1505,7,5,1,1
T1505.001,15,8,4,3
T1505.002,11,8,1,2
T1505.003,76,62,7,7
T1505.004,24,22,2,0
T1505.005,14,11,1,2
T1518,52,40,4,8
T1518.001,139,113,6,20
T1525,9,6,2,1
T1526,17,14,1,2
T1528,49,34,8,7
T1529,30,26,3,1
T1530,33,21,6,6
T1531,20,16,0,4
T1534,11,8,1,2
T1535,10,9,0,1
T1537,21,18,1,2
T1538,10,7,2,1
T1539,40,28,8,4
T1542,11,11,0,0
T1542.001,15,12,2,1
T1542.002,12,12,0,0
T1542.003,22,17,2,3
T1542.004,6,6,0,0
T1542.005,10,8,1,1
T1543,26,22,2,2
T1543.001,38,34,2,2
T1543.002,32,26,3,3
T1543.003,208,173,20,15
T1543.004,32,28,1,3
T1543.005,10,8,2,0
T1546,20,19,0,1
T1546.001,18,14,2,2
T1546.002,25,21,3,1
T1546.003,45,36,3,6
T1546.004,31,25,3,3
T1546.005,9,5,3,1
T1546.006,11,6,3,2
T1546.007,11,11,0,0
T1546.008,62,49,6,7
T1546.009,13,8,2,3
T1546.010,23,17,3,3
T1546.011,25,20,4,1
T1546.012,18,14,4,0
T1546.013,19,14,2,3
T1546.014,13,11,1,1
T1546.015,29,27,0,2
T1546.016,17,13,2,2
T1546.017,11,8,1,2
T1547,18,13,3,2
T1547.001,283,231,24,28
T1547.002,10,7,1,2
T1547.003,12,8,2,2
T1547.004,30,24,3,3
T1547.005,13,10,3,0
T1547.006,34,30,1,3
T1547.007,9,9,0,0
T1547.008,18,16,0,2
T1547.009,36,30,4,2
T1547.010,15,14,1,0
T1547.012,19,18,0,1
T1547.013,23,20,2,1
T1547.014,14,13,0,1
T1547.015,20,16,3,1
T1548,23,21,2,0
T1548.001,21,18,1,2
T1548.002,86,63,13,10
T1548.003,33,26,4,3
T1548.004,15,14,1,0
T1548.005,18,15,3,0
T1548.006,15,11,1,3
T1550,17,11,4,2
T1550.001,37,34,2,1
T1550.002,50,42,5,3
T1550.003,23,21,2,0
T1550.004,13,11,1,1
T1552,22,19,2,1
T1552.001,57,46,6,5
T1552.002,26,19,2,5
T1552.003,13,10,0,3
T1552.004,36,28,2,6
T1552.005,18,11,5,2
T1552.006,19,17,2,0
T1552.007,15,13,2,0
T1552.008,13,9,2,2
T1553,19,18,0,1
T1553.001,35,25,6,4
T1553.002,77,68,6,3
T1553.003,20,14,5,1
T1553.004,32,26,4,2
T1553.005,23,18,4,1
T1553.006,24,20,1,3
T1554,37,26,6,5
T1555,48,35,1,12
T1555.001,33,23,5,5
T1555.002,13,12,0,1
T1555.003,106,86,13,7
T1555.004,40,30,6,4
T1555.005,36,29,2,5
T1555.006,15,11,3,1
T1556,61,49,6,6
T1556.001,27,18,3,6
T1556.002,24,21,2,1
T1556.003,15,12,2,1
T1556.004,10,6,1,3
T1556.005,22,19,2,1
T1556.006,29,20,4,5
T1556.007,30,22,2,6
T1556.008,11,9,1,1
T1556.009,12,11,0,1
T1557,16,12,2,2
T1557.001,30,26,3,1
T1557.002,26,23,1,2
T1557.003,21,18,2,1
T1557.004,19,13,3,3
T1558,12,12,0,0
T1558.001,21,17,2,2
T1558.002,8,6,1,1
T1558.003,21,19,1,1
T1558.004,21,16,4,1
T1558.005,17,16,1,0
T1559,29,26,1,2
T1559.001,29,25,3,1
T1559.002,38,25,10,3
T1559.003,9,5,3,1
T1560,54,40,9,5
T1560.001,88,69,7,12
T1560.002,21,16,2,3
T1560.003,46,38,4,4
T1561,9,9,0,0
T1561.001,25,23,1,1
T1561.002,30,23,2,5
T1562,28,22,3,3
T1562.001,135,118,5,12
T1562.002,65,48,8,9
T1562.003,24,16,5,3
T1562.004,48,41,3,4
T1562.006,31,25,5,1
T1562.007,16,12,3,1
T1562.008,19,17,2,0
T1562.009,20,17,2,1
T1562.010,13,8,2,3
T1562.011,9,9,0,0
T1562.012,20,16,2,2
T1563,7,6,0,1
T1563.001,11,10,0,1
T1563.002,40,35,3,2
T1564,21,19,1,1
T1564.001,75,61,8,6
T1564.002,27,21,3,3
T1564.003,67,57,6,4
T1564.004,37,28,3,6
T1564.005,21,19,1,1
T1564.006,28,22,1,5
T1564.007,14,12,1,1
T1564.008,20,15,3,2
T1564.009,15,12,2,1
T1564.010,15,11,2,2
T1564.011,12,10,2,0
T1564.012,12,12,0,0
T1565,3,2,0,1
T1565.001,15,13,1,1
T1565.002,11,9,2,0
T1565.003,9,7,1,1
T1566,22,20,1,1
T1566.001,160,121,22,17
T1566.002,105,88,6,11
T1566.003,36,23,7,6
T1566.004,12,11,0,1
T1567,15,13,0,2
T1567.001,9,7,0,2
T1567.002,44,37,5,2
T1567.003,10,7,2,1
T1567.004,14,9,2,3
T1568,25,16,6,3
T1568.001,17,14,1,2
T1568.002,42,36,4,2
T1568.003,4,4,0,0
T1569,19,16,1,2
T1569.001,30,24,3,3
T1569.002,92,71,9,12
T1570,56,49,4,3
T1571,55,44,5,6
T1572,41,34,4,3
T1573,18,16,0,2
T1573.001,178,141,19,18
T1573.002,80,65,8,7
T1574,32,26,4,2
T1574.001,62,45,8,9
T1574.002,80,63,8,9
T1574.004,20,14,3,3
T1574.005,14,11,2,1
T1574.006,31,18,7,6
T1574.007,18,16,1,1
T1574.008,26,21,3,2
T1574.009,10,8,1,1
T1574.010,24,15,1,8
T1574.011,21,15,3,3
T1574.012,19,12,4,3
T1574.013,17,15,1,1
T1574.014,13,12,0,1
T1578,14,11,1,2
T1578.001,13,9,2,2
T1578.002,15,10,1,4
T1578.003,13,12,1,0
T1578.004,10,7,2,1
T1578.005,10,8,1,1
T1580,20,15,3,2
T1583,19,18,1,0
T1583.001,72,56,6,10
T1583.002,7,6,1,0
T1583.003,18,14,1,3
T1583.004,17,12,1,4
T1583.005,2,2,0,0
T1583.006,28,23,4,1
T1583.007,3,3,0,0
T1583.008,17,10,6,1
T1584,14,11,0,3
T1584.001,25,20,3,2
T1584.002,9,9,0,0
T1584.003,8,6,1,1
T1584.004,20,14,4,2
T1584.005,9,7,0,2
T1584.006,13,12,0,1
T1584.007,6,3,3,0
T1584.008,13,7,4,2
T1585,13,9,1,3
T1585.001,26,24,1,1
T1585.002,26,22,2,2
T1585.003,6,5,0,1
T1586,8,5,2,1
T1586.001,14,12,1,1
T1586.002,19,13,2,4
T1586.003,8,7,1,0
T1587,10,7,2,1
T1587.001,36,30,4,2
T1587.002,8,6,2,0
T1587.003,12,11,1,0
T1587.004,8,8,0,0
T1588,12,11,1,0
T1588.001,28,22,3,3
T1588.002,96,76,14,6
T1588.003,18,14,1,3
T1588.004,17,14,1,2
T1588.005,13,13,0,0
T1588.006,10,9,1,0
T1588.007,6,5,0,1
T1589,14,9,1,4
T1589.001,16,14,1,1
T1589.002,23,21,2,0
T1589.003,7,6,0,1
T1590,7,4,0,3
T1590.001,7,7,0,0
T1590.002,6,6,0,0
T1590.003,4,4,0,0
T1590.004,7,5,1,1
T1590.005,9,8,0,1
T1590.006,6,4,1,1
T1591,9,8,1,0
T1591.001,6,3,3,0
T1591.002,8,5,2,1
T1591.003,5,4,1,0
T1591.004,8,7,0,1
T1592,8,6,0,2
T1592.001,7,7,0,0
T1592.002,9,6,1,2
T1592.003,5,5,0,0
T1592.004,7,6,0,1
T1593,8,8,0,0
T1593.001,8,7,0,1
T1593.002,7,7,0,0
T1593.003,12,9,2,1
T1594,17,14,1,2
T1595,6,6,0,0
T1595.001,9,6,1,2
T1595.002,18,15,2,1
T1595.003,12,10,0,2
T1596,4,3,0,1
T1596.001,6,5,0,1
T1596.002,6,5,1,0
T1596.003,7,4,1,2
T1596.004,7,6,1,0
T1596.005,9,7,1,1
T1597,4,4,0,0
T1597.001,6,4,2,0
T1597.002,11,7,1,3
T1598,17,13,2,2
T1598.001,6,3,3,0
T1598.002,8,6,2,0
T1598.003,48,35,6,7
T1598.004,10,8,2,0
T1599,14,11,1,2
T1599.001,10,8,1,1
T1600,8,6,2,0
T1600.001,4,3,1,0
T1600.002,8,6,0,2
T1601,8,8,0,0
T1601.001,38,29,4,5
T1601.002,8,5,0,3
T1602,7,6,0,1
T1602.001,8,7,1,0
T1602.002,9,9,0,0
T1606,11,9,1,1
T1606.001,16,11,4,1
T1606.002,29,23,4,2
T1608,12,7,2,3
T1608.001,38,28,5,5
T1608.002,11,9,0,2
T1608.003,10,9,0,1
T1608.004,24,20,2,2
T1608.005,17,13,1,3
T1608.006,12,9,1,2
T1609,22,17,3,2
T1610,28,25,1,2
T1611,22,16,2,4
T1612,8,7,0,1
T1613,18,14,3,1
T1614,25,20,3,2
T1614.001,42,35,3,4
T1615,16,13,1,2
T1619,12,8,2,2
T1620,33,26,3,4
T1621,20,14,5,1
T1622,31,25,2,4
T1647,15,13,1,1
T1648,24,21,0,3
T1649,38,31,1,6
T1650,10,10,0,0
T1651,19,15,3,1
T1652,12,7,2,3
T1653,9,8,1,0
T1654,19,18,0,1
T1656,19,17,0,2
T1657,24,21,1,2
T1659,14,12,2,0
T1665,19,17,2,0
T1666,14,10,1,3
