tactic_labels,technique_labels,sub_technology_labels,text
['TA0007'],['T1124'],['T1124'],destover-like implant used lazarus group obtain current system time send c2 server.
['TA0007'],['T1082'],['T1082'],destover-like variant used lazarus group also collect disk space information sends c2 server.
['TA0007'],['T1057'],['T1057'],destover-like variant used lazarus group also gather process times.
['TA0002'],['T1059'],['T1059.003'],destover-like variant used lazarus group us batch file mechanism delete binary system.
"['TA0003', 'TA0004']",['T1547'],['T1547.004'],dipsind variant register winlogon event notify dll establish persistence.
['TA0040'],['T1499'],['T1499'],"do attack may generated single system multiple system spread across internet, commonly referred distributed do (ddos)."
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.001'],finfisher variant us dll search order hijacking.
['TA0005'],['T1027'],['T1027.002'],finfisher variant us custom packer.
['TA0007'],['T1082'],['T1082'],gamaredon group file stealer gather victim's computer name drive serial number send c2 server.
['TA0007'],['T1033'],['T1033'],gamaredon group file stealer gather victim's username send c2 server.
['TA0010'],['T1041'],['T1041'],gamaredon group file stealer transfer collected file hardcoded c2 server.
['TA0009'],['T1025'],['T1025'],"gamaredon group file stealer capability steal data newly connected logical volume system, including usb drives."
"['TA0005', 'TA0008']",['T1550'],['T1550.003'],"golden ticket obtained domain using key distribution service account krbtgt account ntlm hash, enables generation tgts account active directory."
['TA0009'],['T1119'],['T1119'],helminth vbscript receives batch script execute set command command prompt.
['TA0011'],['T1568'],['T1568.003'],ip and/or port number calculation used bypass egress filtering c2 channel.
['TA0009'],['T1115'],['T1115'],jhuhugit variant access screenshot saved clipboard convert jpg image.
['TA0011'],['T1132'],['T1132.001'],jhuhugit variant encodes c2 post data base64.
['TA0007'],['T1016'],['T1016'],jhuhugit variant gather network interface card information.
['TA0009'],['T1113'],['T1113'],"jhuhugit variant take screenshots simulating user pressing ""take screenshot"" key (vk_screenshot), accessing screenshot saved clipboard, converting jpg image."
['TA0005'],['T1027'],['T1027'],jpin us encrypted compressed payload disguised bitmap within resource section installer.
"['TA0005', 'TA0003']",['T1197'],['T1197'],jpin variant downloads backdoor payload via bit service.
['TA0005'],['T1036'],['T1036.002'],javascript file named photo_high_re\u202egnp.js displayed photo_high_resj.png.
['TA0011'],['T1132'],['T1132.001'],lazarus group malware sample encodes data base64.
['TA0009'],['T1560'],['T1560.003'],lazarus group malware sample encrypts data using simple byte based xor operation prior exfiltration.
"['TA0005', 'TA0004']",['T1055'],['T1055.001'],lazarus group malware sample performs reflective dll injection.
['TA0007'],['T1033'],['T1033'],"linux version derusbi check victim user id anything zero (normally used root), malware execute root privileges."
['TA0040'],['T1498'],['T1498'],network do occur bandwidth capacity network connection system exhausted due volume malicious traffic directed resource network connection network device resource relies on.
['TA0005'],['T1140'],['T1140'],oilrig macro run powershell command decode file contents.
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.002'],patchwork .dll contains badnews loaded executed using dll side-loading.
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.005'],patchwork file stealer run taskscheduler dll add persistence.
['TA0005'],['T1112'],['T1112'],patchwork payload deletes resiliency registry key created microsoft office application apparent effort trick user thinking issue application runs.
['TA0007'],['T1083'],['T1083'],patchwork payload searched fixed drive victim file matching specified list extensions.
"['TA0005', 'TA0004']",['T1055'],['T1055.012'],patchwork payload us process hollowing hide uac bypass vulnerability exploitation inside svchost.exe.
['TA0005'],['T1027'],['T1027.002'],patchwork payload packed upx.
['TA0011'],['T1071'],['T1071.001'],pingpull variant communicate c2 server using https.
"['TA0003', 'TA0004']",['T1546'],['T1546.013'],powershell profile (profile.ps1) script run powershell start used logon script customize user environments.
['TA0005'],['T1553'],['T1553.002'],quasarrat .dll file digitally signed certificate airvpn.
['TA0005'],['T1027'],['T1027.013'],"redleaves configuration file encrypted simple xor key, 0x53."
['TA0011'],['T1071'],['T1071.001'],sugardump variant used http c2.
['TA0011'],['T1071'],['T1071.003'],sugardump variant used smtp c2.
"['TA0005', 'TA0008']",['T1550'],['T1550.003'],"silver ticket obtained service use kerberos authentication mechanism used generate ticket access particular resource system host resource (, sharepoint)."
['TA0011'],['T1090'],['T1090'],typeframe variant force compromised system function proxy server.
['TA0005'],['T1027'],['T1027.013'],threat group-3390 tool encrypt payload using xor.
['TA0007'],['T1012'],['T1012'],threat group-3390 tool read decrypt stored registry values.
"['TA0005', 'TA0004']",['T1055'],['T1055.012'],threat group-3390 tool spawn svchost.exe inject payload process.
['TA0002'],['T1047'],['T1047'],threat group-3390 tool use wmi execute binary.
"['TA0005', 'TA0004']",['T1548'],['T1548.002'],threat group-3390 tool use public uac bypass method elevate privileges.
['TA0005'],['T1112'],['T1112'],threat group-3390 tool created new registry key hkey_current_user\software\classes\ hklm\system\currentcontrolset\services.
['TA0011'],['T1102'],['T1102.002'],turla javascript backdoor used google apps script c2 server.
"['TA0003', 'TA0004']",['T1547'],['T1547.001'],turla javascript backdoor added local_update_check value registry key hklm\software\microsoft\windows\currentversion\run establish persistence.
['TA0008'],['T1021'],['T1021.005'],vnc server must manually installed user adversary.
['TA0005'],['T1027'],['T1027.013'],volgmer variant encoded using simple xor cipher.
['TA0003'],['T1505'],['T1505.003'],web shell web script placed openly accessible web server allow adversary access web server gateway network.
['TA0003'],['T1505'],['T1505.003'],web shell may provide set function execute command-line interface system host web server.
"['TA0009', 'TA0006']",['T1557'],['T1557.004'],wi-fi pineapple ?c network security auditing penetration testing tool ?c may deployed evil twin attack ease use broader range.
['TA0005'],['T1036'],['T1036.005'],"winnti window implant file named aspnet_filter.dll, mimicking legitimate asp.net isapi filter dll name."
['TA0002'],['T1204'],['T1204.002'],word document delivering typeframe prompt user enable macro execution.
['TA0011'],['T1090'],['T1090.003'],"backdoor used apt29 created tor hidden service forward traffic tor client local port 3389 (rdp), 139 (netbios), 445 (smb) enabling full remote access outside network also used tor."
['TA0003'],['T1137'],['T1137.005'],"benign rule might, example, automatically move email particular folder outlook contains specific word specific sender."
"['TA0005', 'TA0003']",['T1542'],['T1542.003'],"bootkit malware variant modifies boot sector hard drive, including master boot record (mbr) volume boot record (vbr)."
['TA0042'],"['T1583', 'T1584']","['T1584.005', 'T1583.005']",botnet network compromised system instructed perform coordinated tasks.
['TA0006'],['T1552'],['T1552.005'],cloud metadata api used least one high profile compromise.
['TA0002'],['T1059'],['T1059.003'],"command prompt launched process normally doesn??t launch command prompt could result malicious code injected process, attacker replacing legitimate program malicious one."
['TA0001'],['T1566'],['T1566.003'],"common example build rapport target via social media, send content personal webmail service target us work computer."
['TA0008'],['T1210'],['T1210'],common goal post-compromise exploitation remote service lateral movement enable access remote system.
"['TA0003', 'TA0004']",['T1546'],['T1546.005'],common situation script allowing graceful termination handling common keyboard interrupt like ctrl+c ctrl+d.
['TA0005'],['T1564'],['T1564.003'],"common use application run system tray, also want show dock."
['TA0005'],['T1036'],['T1036.002'],common use technique spearphishing attachment/malicious file since trick end user defender aware tool display render rtlo character.
['TA0004'],['T1068'],['T1068'],"common way escalating privilege system externally invoking exploiting spoolsv connhost executables, legitimate window applications."
['TA0004'],['T1068'],['T1068'],"common way escalating privilege system externally invoking exploiting executables, legitimate window applications."
['TA0040'],['T1561'],['T1561'],complete wipe disk sector may attempted.
['TA0002'],['T1609'],['T1609'],"container administration service docker daemon, kubernetes api server, kubelet may allow remote management container within environment."
['TA0005'],['T1218'],['T1218.001'],custom chm file containing embedded payload could delivered victim triggered user execution.
['TA0005'],['T1140'],['T1140'],custom xor cipher rc4 used decryption.
['TA0010'],['T1537'],['T1537'],defender monitoring large transfer outside cloud environment normal file transfer command control channel may watching data transfer another account within cloud provider.
['TA0008'],['T1080'],['T1080'],directory share pivot variation technique us several technique propagate malware user access shared network directory.
"['TA0003', 'TA0004']",['T1547'],['T1547.001'],dropper used putter panda installs asep registry key hkcu\software\microsoft\windows\currentversion\run value named mcupdate.
['TA0005'],['T1036'],['T1036.007'],file name may include secondary file type extension may cause first extension displayed (ex: file.txt.exe may render view file.txt).
['TA0040'],['T1499'],['T1499.001'],flood ack packet sent target.
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.002'],gh0st rat variant used dll side-loading.
['TA0005'],['T1218'],['T1218.011'],gh0st rat variant used rundll32 execution.
['TA0005'],['T1027'],['T1027.005'],good example malware detected file signature quarantined anti-virus software.
['TA0006'],['T1003'],['T1003.003'],good starting point would look new file created copied extension .dit.
"['TA0005', 'TA0004']",['T1055'],"['T1055.004', 'T1055.003']",handle existing victim process first created native window api call openthread.
['TA0007'],['T1016'],['T1016'],"keylogging tool used apt3 gather network information victim, including mac address, ip address, wins, dhcp server, gateway."
"['TA0003', 'TA0004']",['T1098'],['T1098.002'],larger normal volume email sent account similar phishing email sent from?real account within network may sign account compromised attempt leverage access modified email permission occurring.
['TA0001'],['T1189'],['T1189'],"legitimate website compromised adversary injected form malicious code javascript, iframes, cross-site scripting"
"['TA0003', 'TA0004']",['T1546'],['T1546.011'],list shim currently installed default window installer (sdbinst.exe) kept in: %windir%\apppatch\sysmain.sdb hklm\software\microsoft\windows nt\currentversion\appcompatflags\custom
"['TA0003', 'TA0004']",['T1037'],['T1037.002'],login hook plist file point specific script execute root privilege upon user logon.
['TA0003'],['T1137'],['T1137.004'],malicious html page crafted execute code loaded outlook home page.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.002'],malicious password filter would receive plain-text credential every time password request made.
['TA0005'],['T1070'],['T1070.004'],menupass macro deletes file decoded decompressed them.
['TA0005'],['T1578'],['T1578'],"modification compute service infrastructure include creation, deletion, modification one component compute instances, virtual machines, snapshots."
['TA0006'],['T1187'],['T1187'],modified .lnk .scf file icon filename pointing external reference \[remote address]\pic.png force system load resource icon rendered repeatedly gather credentials.
['TA0002'],['T1059'],['T1059.003'],module cozycar allows arbitrary command executed invoking c:\windows\system32\cmd.exe.
['TA0007'],['T1083'],['T1083'],"module prikormka collect information paths, size, creation time file specific file extensions, actual content file."
['TA0007'],['T1082'],['T1082'],"module prikormka collect information victim window o version, computer name, battery info, physical memory."
['TA0007'],['T1518'],['T1518.001'],module prikormka collect information victim installed anti-virus software.
['TA0007'],['T1016'],['T1016'],module prikormka collect information victim ip address mac addresses.
['TA0007'],['T1033'],['T1033'],module prikormka collect information victim current user name.
['TA0007'],['T1120'],['T1120'],module prikormka collect information available printer disk drives.
['TA0006'],['T1555'],['T1555'],module prikormka collect password stored application installed victim.
['TA0006'],['T1555'],['T1555.003'],"module prikormka gather logins password stored application victims, including google chrome, mozilla firefox, several browsers."
['TA0005'],['T1027'],['T1027.002'],"comprehensive list known packer available, adversary may create packing technique leave artifact well-known packer evade defenses."
['TA0005'],['T1480'],['T1480.002'],mutex locking mechanism used synchronize access resource.
"['TA0009', 'TA0006']",['T1557'],['T1557'],"new, alternative rpc channel set malicious dll recording plaintext credential entered winlogon, effectively intercepting redirecting logon information."
['TA0002'],['T1059'],['T1059.001'],"number powershell-based offensive testing tool available, including empire, powersploit, poshc2, psattack."
['TA0040'],['T1490'],['T1490'],number native window utility used adversary disable delete system recovery features:
['TA0006'],['T1003'],['T1003.002'],number tool used retrieve sam file in-memory techniques:
['TA0001'],['T1195'],['T1195.002'],"patch management process implemented check unused applications, unmaintained and/or previously vulnerable software, unnecessary features, components, files, documentation."
['TA0001'],['T1195'],['T1195.001'],"patch management process implemented check unused dependencies, unmaintained and/or previously vulnerable dependencies, unnecessary features, components, files, documentation."
['TA0006'],['T1539'],['T1539'],physical second factor key us target login domain part negotiation protocol prevent session cookie theft proxy methods.
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.013'],pointer memory address kernelcallbacktable obtained locating peb (ex: via call ntqueryinformationprocess() native api function).
"['TA0003', 'TA0004']",['T1547'],['T1547.010'],port monitor set addmonitor api call set dll loaded startup.
"['TA0003', 'TA0004']",['T1547'],['T1547.012'],print processor installed addprintprocessor api call account seloaddriverprivilege enabled.
['TA0006'],['T1555'],['T1555.002'],privileged adversary may able scan securityd's memory find correct sequence key decrypt user??s logon keychain.
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.012'],process scope cor_profiler also created in-memory without modifying registry.
['TA0006'],['T1552'],['T1552.005'],properly configured web application firewall (waf) may help prevent external adversary exploiting server-side request forgery (ssrf) attack allow access cloud instance metadata api.
['TA0005'],['T1612'],['T1612'],"remote build request may sent docker api includes dockerfile pull vanilla base image, alpine, public local registry build custom image upon it."
['TA0008'],['T1021'],['T1021.001'],"remote desktop logon, through?rdp, may typical system administrator support, select workstations."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],"['T1078.002', 'T1078.003']","remote desktop logon, through?remote desktop protocol, may typical system administrator support, select workstations."
['TA0005'],['T1564'],['T1564.009'],"resource fork provides application structured way store resource thumbnail images, menu definitions, icons, dialog boxes, code."
['TA0005'],['T1207'],['T1207'],rogue dc must authenticate service using two spns replication process successfully complete.
['TA0011'],['T1104'],['T1104'],second remote access tool (rat) could uploaded point redirect host second-stage command control server.
['TA0001'],['T1190'],['T1190'],"server-side request forgery (ssrf) vulnerability, cve-2024-21893, identified later used bypass mitigation initial two vulnerability chaining cve-2024-21887."
"['TA0005', 'TA0008']",['T1550'],['T1550.003'],"service ticket allows access particular resource, whereas tgt used request service ticket ticket granting service (tgs) access resource user privilege access."
['TA0040'],['T1561'],['T1561.001'],"similar process used wipe content logical drive and, finally, attempt wipe every byte every sector every drive."
['TA0005'],['T1578'],['T1578.001'],"snapshot point-in-time copy existing cloud compute component virtual machine (vm), virtual hard drive, volume."
['TA0006'],['T1187'],['T1187'],"spearphishing attachment containing document resource automatically loaded document opened ( template injection). document include, example, request similar file[:]//[remote address]/normal.dotm trigger smb request."
['TA0006'],['T1528'],['T1528'],"specific app investigated using activity log displaying activity app performed, although activity may mis-logged performed user."
['TA0009'],['T1185'],['T1185'],"specific example adversary injects software browser allows inherit cookies, http sessions, ssl client certificate user use browser way pivot authenticated intranet."
"['TA0003', 'TA0004']",['T1037'],['T1037.005'],"startup item directory whose executable configuration property list (plist), startupparameters.plist, reside top-level directory."
['TA0007'],['T1082'],['T1082'],system info module cozycar gather information victim host??s configuration.
"['TA0002', 'TA0008']",['T1072'],['T1072'],system typically used push software client suddenly used task outside known admin function may suspicious.
['TA0040'],['T1499'],['T1499.001'],system's o responsible managing finite resource well preventing entire system overwhelmed excessive demand capacity.
['TA0005'],['T1553'],['T1553.004'],system's root certificate unlikely change frequently.
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053'],"task also scheduled remote system, provided proper authentication met (ex: rpc file printer sharing window environments)."
['TA0042'],['T1588'],['T1588.002'],"tool used malicious purpose adversary, (unlike malware) intended used purpose (ex: psexec)."
['TA0003'],['T1525'],['T1525'],tool developed facilitate planting backdoor cloud container images.
['TA0005'],['T1599'],['T1599.001'],typical example environment internal network make use non-internet routable addresses.
"['TA0005', 'TA0004']",['T1134'],['T1134'],user manipulate access token make running process appear though child different process belongs someone user started process.
['TA0005'],['T1036'],['T1036.008'],user may know file malicious due benign appearance file extension.
['TA0001'],['T1189'],['T1189'],user visit website used host adversary controlled content.
"['TA0003', 'TA0004']",['T1543'],['T1543.005'],user access (rootful) docker command may also able escalate privilege host.
"['TA0005', 'TA0008']",['T1550'],['T1550.003'],"user's service ticket ticket granting ticket (tgt) may obtained, depending level access."
['TA0005'],['T1480'],['T1480'],"user-agent self-identifies data user's software application, operating system, vendor, version."
"['TA0009', 'TA0006']",['T1557'],['T1557.001'],"value ""0"" indicates llmnr disabled."
['TA0011'],['T1573'],['T1573.001'],variant advstoreshell encrypts c2 3des.
['TA0011'],['T1573'],['T1573.002'],variant advstoreshell encrypts c2 rsa.
['TA0007'],['T1083'],['T1083'],variant elise executes dir c:\progra~1 initially run.
['TA0005'],['T1027'],['T1027.001'],variant emissary appends junk data end dll file create large file may exceed maximum size anti-virus program scan.
['TA0007'],['T1012'],['T1012'],"variant hoplight hook lsass.exe, lsass.exe check registry data value 'rdpproto' key system\currentcontrolset\control\lsa name."
['TA0009'],['T1113'],['T1113'],variant zebrocy capture screenshots victim??s machine jpeg bmp format.
"['TA0005', 'TA0004']",['T1055'],['T1055.004'],"variation apc injection, dubbed ""early bird injection"", involves creating suspended process malicious code written executed process' entry point (and potentially subsequent anti-malware hooks) via apc."
['TA0011'],['T1090'],['T1090.004'],"variation technique, ""domainless"" fronting, utilizes sni field left blank; may allow fronting work even cdn attempt validate sni http host field match (if blank sni field ignored)."
['TA0005'],['T1535'],['T1535'],variation behavior take advantage difference functionality across cloud regions.
['TA0003'],['T1137'],['T1137'],"variety feature discovered outlook abused obtain persistence, outlook rules, forms, home page."
['TA0042'],['T1586'],['T1586'],"variety method exist compromising accounts, gathering credential via phishing information, purchasing credential third-party sites, brute forcing credential (ex: password reuse breach credential dumps), paying employees, supplier business partner access credentials."
['TA0042'],['T1586'],['T1586.003'],"variety method exist compromising cloud accounts, gathering credential via phishing information, purchasing credential third-party sites, conducting password spraying attacks, attempting steal application access tokens."
['TA0042'],['T1586'],['T1586.002'],"variety method exist compromising email accounts, gathering credential via phishing information, purchasing credential third-party sites, brute forcing credential (ex: password reuse breach credential dumps), paying employees, supplier business partner access credentials."
['TA0042'],['T1586'],['T1586.001'],"variety method exist compromising social medium accounts, gathering credential via phishing information, purchasing credential third-party sites, brute forcing credential (ex: password reuse breach credential dumps)."
['TA0042'],['T1650'],['T1650'],variety online service initial access broker network available sell access previously compromised systems.
['TA0042'],['T1583'],['T1583.006'],"variety popular website exist adversary register web-based service abused later stage adversary lifecycle, command control (web service), exfiltration web service, phishing."
['TA0042'],['T1584'],['T1584.006'],"variety popular website exist legitimate user register web-based services, github, twitter, dropbox, google, sendgrid, adversary may try take ownership legitimate user's access web service use web service infrastructure support cyber operations."
['TA0005'],['T1027'],['T1027.002'],version daserf us mpress packer.
"['TA0003', 'TA0004']",['T1547'],['T1547.009'],version konni drop window shortcut victim??s machine establish persistence.
"['TA0003', 'TA0004']",['T1547'],['T1547.001'],version konni dropped window shortcut startup folder establish persistence.
['TA0007'],['T1083'],['T1083'],"version konni search filename created previous version malware, suggesting different version targeted victim version may work together."
['TA0005'],['T1127'],['T1127.001'],"version plugx load shellcode within .net framework project using msbuild.exe, presumably bypass application control techniques."
['TA0005'],['T1027'],['T1027.001'],version xtunnel introduced july 2015 inserted junk code binary likely attempt obfuscate bypass security products.
['TA0005'],['T1027'],['T1027'],version xtunnel introduced july 2015 obfuscated binary using opaque predicate technique likely attempt obfuscate bypass security products.
['TA0005'],['T1036'],['T1036.007'],common usage involves tricking user opening think benign file type actually executable code.
"['TA0005', 'TA0004']",['T1055'],['T1055.012'],"victim process created native window api call createprocess, includes flag suspend process primary thread."
['TA0005'],['T1027'],['T1027.002'],virtual machine called run code.
['TA0042'],['T1588'],['T1588.006'],"vulnerability weakness computer hardware software can, potentially, exploited adversary cause unintended unanticipated behavior occur."
['TA0003'],['T1505'],['T1505.003'],web shell web script placed openly accessible web server allow adversary use server gatway network.
"['TA0003', 'TA0004']",['T1543'],['T1543.003'],well-tuned baseline essential differentiating benign malicious service modifications.
['TA0042'],['T1583'],['T1583'],wide variety infrastructure exists hosting orchestrating adversary operations.
['TA0005'],['T1564'],['T1564.006'],wide variety virtualization technology exist allow emulation computer computing environment.
"['TA0005', 'TA0004']",['T1484'],['T1484.002'],aadinternals also modify desktopsso information.
['TA0006'],['T1606'],['T1606.002'],aadinternals used create saml token using ad federated service token signing certificate.
['TA0006'],['T1558'],['T1558.002'],aadinternals used forge kerberos ticket using password hash azureadssoacc account.
['TA0043'],['T1589'],['T1589.002'],aadinternals check existence user email address using public microsoft apis.
['TA0009'],['T1530'],['T1530'],aadinternals collect file user??s onedrive.
"['TA0005', 'TA0004']",['T1484'],['T1484.002'],aadinternals create backdoor converting domain federated domain able authenticate user across tenant.
['TA0006'],['T1649'],['T1649'],"aadinternals create export various authentication certificates, including associated azure ad joined/registered devices."
['TA0003'],['T1136'],['T1136.003'],aadinternals create new azure ad users.
['TA0010'],['T1048'],['T1048'],aadinternals directly download cloud user data onedrive files.
['TA0006'],['T1003'],['T1003.004'],aadinternals dump secret local security authority.
['TA0007'],['T1069'],['T1069.003'],aadinternals enumerate azure ad groups.
['TA0007'],['T1087'],['T1087.004'],aadinternals enumerate azure ad users.
['TA0007'],['T1526'],['T1526'],"aadinternals enumerate information variety cloud services, office 365 sharepoint instance openid configurations."
['TA0002'],['T1651'],['T1651'],aadinternals execute command azure virtual machine using vm agent.
['TA0006'],['T1552'],['T1552.004'],aadinternals gather encryption key azure ad service adsync active directory federated service servers.
['TA0043'],['T1590'],['T1590.001'],aadinternals gather information tenant??s domain using public microsoft apis.
['TA0006'],['T1552'],['T1552.001'],"aadinternals gather unsecured credential azure ad services, azure ad connect, local machine."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.007'],aadinternals inject malicious dll (ptaspy) azureadconnectauthenticationagentservice backdoor azure ad pass-through authentication.
['TA0005'],['T1112'],['T1112'],aadinternals modify registry key part setting new pass-through authentication agent.
"['TA0003', 'TA0004']",['T1098'],['T1098.005'],aadinternals register device azure ad.
['TA0001'],['T1566'],['T1566.002'],"aadinternals send ""consent phishing"" email containing malicious link designed steal users?? access tokens."
['TA0043'],['T1598'],['T1598.003'],aadinternals send phishing email containing malicious link designed collect users?? credentials.
['TA0006'],['T1528'],['T1528'],aadinternals steal users?? access token via phishing email containing malicious links.
['TA0002'],['T1059'],['T1059.001'],aadinternals written executed via powershell.
['TA0005'],['T1027'],['T1027.003'],abk extract malicious portable executable (pe) photo.
['TA0005'],['T1140'],['T1140'],abk ability decrypt aes encrypted payloads.
['TA0011'],['T1105'],['T1105'],abk ability download file c2.
['TA0007'],['T1518'],['T1518.001'],abk ability identify installed anti-virus product compromised host.
"['TA0005', 'TA0004']",['T1055'],['T1055'],abk ability inject shellcode svchost.exe.
['TA0011'],['T1071'],['T1071.001'],abk ability use http communication c2.
['TA0002'],['T1059'],['T1059.003'],abk ability use cmd run portable executable (pe) compromised host.
['TA0040'],['T1499'],['T1499.001'],ack flood leverage stateful nature tcp protocol.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.007'],"ad f also used saas cloud platform aws gcp, hand authentication process ad f receive token containing hybrid users?? identity privileges."
"['TA0003', 'TA0004']",['T1547'],['T1547.001'],advstoreshell achieves persistence adding hkcu\software\microsoft\windows\currentversion\run registry key.
['TA0002'],['T1059'],['T1059.003'],advstoreshell create remote shell run given command.
['TA0005'],['T1070'],['T1070.004'],advstoreshell delete file directories.
['TA0007'],['T1012'],['T1012'],advstoreshell enumerate registry keys.
['TA0007'],['T1120'],['T1120'],advstoreshell list connected devices.
['TA0007'],['T1083'],['T1083'],advstoreshell list file directories.
['TA0007'],['T1057'],['T1057'],advstoreshell list running processes.
"['TA0009', 'TA0006']",['T1056'],['T1056.001'],advstoreshell perform keylogging.
['TA0007'],['T1082'],['T1082'],advstoreshell run systeminfo gather information victim.
['TA0010'],['T1029'],['T1029'],"advstoreshell collects, compresses, encrypts, exfiltrates data c2 server every 10 minutes."
['TA0009'],['T1560'],['T1560.003'],advstoreshell compress output data generated command execution custom implementation lempel?cziv?cwelch (lzw) algorithm.
['TA0011'],['T1071'],['T1071.001'],advstoreshell connects port 80 c2 server using wininet api.
['TA0009'],['T1560'],['T1560'],advstoreshell encrypts 3des algorithm hardcoded key prior exfiltration.
['TA0010'],['T1041'],['T1041'],advstoreshell exfiltrates data channel used c2.
['TA0005'],['T1218'],['T1218.011'],advstoreshell used rundll32.exe registry value establish persistence.
['TA0005'],['T1112'],['T1112'],advstoreshell capable setting deleting registry values.
['TA0002'],['T1106'],['T1106'],advstoreshell capable starting process using createprocess.
['TA0009'],['T1074'],['T1074.001'],advstoreshell store output command execution .dat file %temp% directory.
['TA0042'],['T1588'],['T1588.007'],"ai tool may also automate technical task generating, refining, otherwise enhancing (, obfuscated file information) malicious script payloads."
