sample_id,source_index,split,label,text_sha256
fgat-000059,58,train,T1053.005,0f77876389913ec0ab0e2bc082181f4c5cba1ba7a955a788454e1e3946026812
fgat-000060,59,validation,T1112,fba289d58860fc455f4e8e2ebb816cfbd9d310938798e7c677ce0acf9997bfe3
fgat-000061,60,train,T1083,c5f7d71461383593a0d7f4f79e6048eeb2db28293207eadbb659312bcf72a9c8
fgat-000062,61,train,T1055.012,33e8b85815e611f605423234bb17d8262513c51bf0e8e22d6622bb7d8683b7a0
fgat-000063,62,train,T1027.002,814fe13318a200c2f11461042c7d496c91672b94a18e480663de335cb2f43a95
fgat-000064,63,train,T1071.001,5f4508748f45f0594917e5ab03f4a95b8092c66285503df923704b7beaf2affc
fgat-000065,64,train,T1546.013,ab6d2b428d67fcdbc26232c983691704ac2fb1a6b4bc1dbe29728c6f3a850f59
fgat-000066,65,train,T1553.002,0d7c675cc8571f9e83481cf42aada1087c93850b76004cc3c1959daa58c6a423
fgat-000067,66,train,T1027.013,89bc1391faa9388ba634d270258e27cfdbf52b5f3b9301186422441097e6dc0a
fgat-000068,67,train,T1071.001,d8a4d0ff0e325e028d9e6e1e41c61b0fa78dc5e917fd266fcaf6626bae2650ff
fgat-000069,68,train,T1071.003,865e53051a7b0469d384b0d1d164d4ee5a9af7d012502e3299ed2c7d8f598e5d
fgat-000070,69,validation,T1550.003,49c812c8c431ebb6cf1333fd8fcaa7d80c460666d62ff774012a67e5524f2178
fgat-000071,70,train,T1090,f6603b450ee3d03cf0180640a81d37dd4c3c7c210c403c4fe5253726637624e6
fgat-000072,71,train,T1027.013,7bc35e13b8b4e35003a7fc70271746be90326e259abd8e158413e698c96086cc
fgat-000073,72,test,T1012,346ea0942bf9111e93cd3041862aef2ed8a600d6d0e215233cbf92b0afab1c40
fgat-000074,73,train,T1055.012,4568c640b6a916bc5e9522d295960aea79da259c3049cd5a63ee5e9b19c95646
fgat-000075,74,train,T1047,18024629aa012ad397c20d77efc58f54464005fd4616ef6facb0a979d220a65e
fgat-000076,75,validation,T1548.002,4990cfa3dc96d9083b00484447d9514d8f47888c3402bc5a18eaf06ef5db8f5b
fgat-000077,76,train,T1112,28676755d14b2bfec6f6195ba843fc09753cf9a1ea492740b15020c7b37880d0
fgat-000078,77,train,T1102.002,82d6d3c586e248d3f4a680706a8250bbcbee220a3787cc232456684283e5f30e
fgat-000079,78,train,T1547.001,2df4c0c86ff9cebd14f2ef4b527775ae91358a757c99fa2bf194b2a41fcf2b9e
fgat-000080,79,train,T1021.005,27169954699a4ab91b17d9d65ad987f099c83eaadf83cfb3434394f9cfe1cf06
fgat-000081,80,train,T1027.013,04c5619cc0dcbb4e31cb694a2990713820a6eccd8b909f66a96c34d9af4fa8a4
fgat-000082,81,train,T1505.003,d615f12a4cea5a56c1f93752b00d919d5081834b6b7fc3947f0810ece2d4906c
fgat-000083,82,train,T1505.003,5fef7e95b9ab299da141a95d67a321d96bd179eafdfdea8750d57497ba043069
fgat-000084,83,train,T1557.004,4d6a080a8a0246dc0d2f9c8af96aebc66700358204b833c8e0c891fa12b224ae
fgat-000085,84,train,T1036.005,69fc0d5fa2041c07cf443c6f46812753fa0e13a3152da908b230f38d17314405
fgat-000086,85,train,T1204.002,75e0938de35906cf0c5d6b37313214ee186b928b4cd817c91ef45223f68e3f53
fgat-000087,86,train,T1090.003,fa4a265199e6fb85bf07e87be055e492ca45e7327193eb70c6e108fadc8029a6
fgat-000088,87,train,T1137.005,aead3e861efc5c589b9842a60cc2e472764a9bfd763fafe0c63f455f35409996
fgat-000089,88,validation,T1542.003,4147707e8dc2facdfdbf0d7742d938c07962ffa0f6acaa55ae4edb2488bc20d4
fgat-000090,89,train,T1584.005,68d7e8d20923692669c1fd333f87424931c7535566ce6eb8b07e9e24b0c18439
fgat-000091,90,train,T1552.005,5d7d4307d37ed7567fb47359914251048c6a54b5d3214858610469d7b06459c8
fgat-000092,91,train,T1059.003,609fab474d3fb9c6b7f324e4b15add6eb37c9d3602a9f0d3db859fdd8c94e341
fgat-000093,92,train,T1566.003,a9a3eac7336edfa201d0bc755730cf8085f352937f41246ad480d278f2875dbd
fgat-000094,93,train,T1210,64596f61b12b3e99f041e5a84b32d391d910c55a9c401ab481c9bbdce8db7628
fgat-000095,94,train,T1546.005,0ef370c78f9ca76a5ad2d3af960160da04467b5f9f99cff7303d6df193a1f5e6
fgat-000096,95,train,T1564.003,c2fa13eab09252e35086be4d3d7c919735a5be4e33800f59ef951eef79d09615
fgat-000097,96,train,T1036.002,bd6b2317d6f91ef7eb7093e6df499409f20ae0cb021bf6cd1f489419375178dd
fgat-000098,97,train,T1068,6b8c1af3781455a3b25f78054c806732feeeba1fee8ea49e1b95db8fb45ce58f
fgat-000099,98,train,T1068,356e2463e8484af21fba84fc97f2a6292240570443e57194e0a91dc241ad7ed4
fgat-000100,99,train,T1561,123d8622a82b1b8e26f5884ce232a561c53744d7df22e2b96b5affcb41653182
fgat-000101,100,train,T1609,fa4901cc562796c00a59555a7b756aced4114a8fda62cedecda2d077164cc6cc
fgat-000102,101,test,T1218.001,9787fa90f0f9006bd51d75d9bae3d110478b86a924ac455a2fd6c1da66df9332
fgat-000103,102,train,T1140,65a814e11e4fb413c6227f69d3aa4307ed8378595d33f8442e36541e83fb2d9b
fgat-000104,103,validation,T1537,a72e7d58379ee0a95db93a4a578ff337e59259a2fe300859aa1fadd5a92c4189
fgat-000105,104,train,T1080,564fb88c4409c7c9cbde88cac136d7875176d20993bbd8aa2571964faa695e58
fgat-000106,105,train,T1547.001,05170deb8395d93515eb2d4034ce7832fa0e58732cea71a6ed36630d9400e521
fgat-000107,106,train,T1036.007,927dae4964a1e9b862c6bd01efb8178933ada5247dedd660bb4c388d7d82abf7
fgat-000108,107,train,T1499.001,d910449edfbe980eccbd0b3db64470d0d3d71bc02b248803dc1f0a51fb4bddcc
fgat-000109,108,train,T1574.002,e81d559a1dc03b855eeb99cb9ff6984cdc9b8c16266ec7ba50a51ba5c892f637
fgat-000110,109,train,T1218.011,bd3491c5936365bf568a9c5934408cd39b9a7ac4d637f5bbdeeef9f58a424137
fgat-000111,110,train,T1027.005,dee23c4ccce6125d33ada893304c1b5e851f52907d1984affe2fcaf3d2c7e8a2
fgat-000112,111,train,T1003.003,0ec07d05bd365737158bdfb2971c7dd553cd889059a6693bdee337d257a7a86a
fgat-000113,112,train,T1055.004,5b7a949d21f18a84ad679597188f0e2401eb77879638cbc33b45d68864b01d3f
fgat-000114,113,train,T1016,7dccafaaf9c5a05e7a672bea4d8cb1784e7b9a64e6056002382da514e11ddbbd
fgat-000115,114,train,T1098.002,4a2dbbd198bf8af543f1b75a710a70c8def784508c42e317d06eac1949c7bc3f
fgat-000116,115,validation,T1189,0cf30f76df589ecb90621c29bed80fb60e86838b7e26c064dcd27533c69a3b7c
fgat-000117,116,train,T1546.011,85649242b25989c2e23a3d5ffbb6db0b846bc7d4d94b6fbf064c88ca20f7c940
fgat-000118,117,train,T1037.002,b358747d867161d937a03da567bfdfe6fa7a48ae157ce1dde82199b064779198
fgat-000119,118,train,T1137.004,d1155ebdb06b824fcf0c827202f77aacbb1e6323167931e45a0be8a5e6d84e99
fgat-000120,119,validation,T1556.002,f7d02640197735d71b84573bdd7d23fbfd95abd77f9a04ddbce0b0fb74cf7504
fgat-000121,120,train,T1070.004,d41c5519a979b7cc605dd0ea6e793439397ed190bb60eb4ddd4bebc767a1f435
fgat-000122,121,train,T1578,b4b4c52f77dfe1fdc2ba57439ae0403b725b877c5bb1a43def55d70da57b6da0
fgat-000123,122,train,T1187,c11a02d10d79987c5256f1f3dc0d6f0e94aef66878d9eef994b33db09408b990
fgat-000124,123,train,T1059.003,d5adee9efb73019c92ab8b9a4a76ee8906b82ee5c149ac1be2a37ff4401bfcba
fgat-000125,124,train,T1083,4620fe9c92cf3c2d21bfa9e8d62825a7cdc7ef97e51ec329bf23cc13e615e3a8
fgat-000126,125,train,T1082,8d9e58a0d6211f01c82baf85b2b6d1bc657f3cacc4dd6bde079f70ff71af7fdb
fgat-000127,126,train,T1518.001,55b6e4b47650c278be1138e384cf391792f70ce8a25162a17690736d664e9eb8
fgat-000128,127,validation,T1016,bd7e92d3d64d6c9a9d3dc5149f1a7ce0da70ef3a7ec8f16964c4ccd56989ffe6
fgat-000129,128,train,T1033,81d61dc7f9d03c6534642f8238db4b8a592b5e42c9b119f885818645ccf44179
fgat-000130,129,train,T1120,75dc472dda43eeccc6f3a90021f7d8212d35b4f8f1048e85f33b0ada9f766df8
fgat-000131,130,train,T1555,c31c919b21be69749e571c3eae12049a6d5d01f18bbafe668b4a2f93580dd341
fgat-000132,131,train,T1555.003,40bed4a0940e02a9d533a8d500960dd658e11ac69b2917daea5713d9471f1225
fgat-000133,132,train,T1027.002,887db160c04355b1bb3d60b1fbe2d0331175216234a2df548834d07dde5dd21c
fgat-000134,133,validation,T1480.002,f185b90038afa22999a8844930a7e905b20f63d40ccca9c4f06dac82b29f475d
fgat-000135,134,test,T1557,9b5b1782aef88905d7e7de1d5672e744b09e6a51530a40e7a0bf17e3ad5cb757
fgat-000136,135,train,T1059.001,a08a28b6241be1869a8d279f3422cc931093aaef109feec1d004c10adb8af827
fgat-000137,136,train,T1490,0f0385dd411d703dbab0548a616e1735f24e3070dd6b3afc57ff5944cd335320
fgat-000138,137,train,T1003.002,685c6efbd722f61cb3956960e74ab441a031807e98ac959164d4f73a11a3e772
fgat-000139,138,train,T1195.002,a1d21b97f7a5c2b4f0fbea55ff616000413de10a0002e5e02510efea4a663bc3
fgat-000140,139,validation,T1195.001,3314e16828d0383467e9d7aa2a92e73192b3e9339e00d213c2c6d8533a88d103
fgat-000141,140,train,T1539,20f31f94b8bd0606b1b9f18287e626610ce57a4fe51d7029e6bb227d24bfd968
fgat-000142,141,train,T1574.013,47d3a638ed111af0acac7d8782ecb7a653b279ba44c7ed1c5419f0b3e1770234
fgat-000143,142,train,T1547.010,ad97685d4b2c147b5ae1e332d702a07cf06bcef7c52116ff043c4d32fe1bdd21
fgat-000144,143,train,T1547.012,e19bbddbe414b6e48f88ea8ba85b5f793bf75a721006ad1a6ff012094481551b
fgat-000145,144,train,T1555.002,8869b627d18745d04fb7fe12c273c88654f4b6340c5bfb345e31038cabfbc279
fgat-000146,145,train,T1574.012,e358cc276926feb5467c42ac1bfdd0195696a1ed3094ccd8bfbb5f37281c1821
fgat-000147,146,train,T1552.005,aa1e3071d7a140baa92a2964476606731dc3cfb21d8af217c81ed22367053abc
fgat-000148,147,train,T1612,044abc2e64147c789f6b17dc9d1773705f91f363d819dc28e223ed8088cde92d
fgat-000149,148,train,T1021.001,514500387913f03a40a3a5463f937f84e34e3f1d4a9a33cffa7d565b5e533978
fgat-000150,149,train,T1078.002,2a02fee85b5b04f616781efd55124c384023a110c74ffa7be16774ebd699aca9
fgat-000151,150,validation,T1564.009,cd30b56763004ebdbfbf5edf96ec05333de6ee3408ccbe7eaaa0aed87628018c
fgat-000152,151,train,T1207,d1cbb2f001f0c5f70f9d5daf45d55b24ddb50e60805b7c353f9ec55326004bb2
fgat-000153,152,train,T1104,75f0e9d3bd0124a4d3c4e0ac94b7e0f39a902c62e4b18087731dc3c6e4c7fe2b
fgat-000154,153,train,T1190,1e1abcaa9c4fc2bad57803fdead1b3f6e6abed7015f62483a53869e54bad5ea2
fgat-000155,154,train,T1550.003,e24eb1f0daef6cc1053f6a058363bec8a33a8900c00fbfe569d159c148ec3a66
fgat-000156,155,train,T1561.001,683de9add751d8b729b024547d46f24f4eda4e50acdcc8ea7e3ceb6a6239158b
fgat-000157,156,train,T1578.001,2eac7c309d14d5d23ab6eb5a7d6e964b98b6a28845e43e475658704bfb33c604
fgat-000158,157,train,T1187,f9de59da7e47229f00e8954e846a4c6f61ead1cf9121f5da01cf90fb96fdfa6a
fgat-000159,158,train,T1528,a955e2271365a1004ffa854326126fc02a1f235d564835a021397ad504ae2ae9
fgat-000160,159,train,T1185,0c42cafa959956a8b01dd0d5e5d681eb2b920e04d6d722d38daaca1cbe4f6e94
fgat-000161,160,train,T1037.005,6d1388da81c799c2a26f50508869a73051dc444dd01971233c847f789bfc3b97
fgat-000162,161,train,T1082,6c36ec0db5ac3c34112915ab984fdc3259528e03f60b6398395b69ba30dca631
fgat-000163,162,train,T1072,58e7be0bf6d9ac9c2519474b7d0ca89867693d73c1771612087ef62fb52b880c
fgat-000164,163,train,T1499.001,169e316d027e503ce524b753dada5da973efbfcb36b82fce57ab7732133ef50a
fgat-000165,164,train,T1553.004,51ae7722f2e2f6c3e9dcba814ece19aa2f3a8944ff61a188edb5948506142523
fgat-000166,165,train,T1053,e8b90dce8f22b83d5f840b03e1d81cf3e280c9008f2f10d3ecebe797bc2cb05c
fgat-000167,166,train,T1588.002,81df28d59886dafe6992c4011179932cc4c7a0e1286c13da978f9130dbdc8577
fgat-000168,167,test,T1525,a87aeaf30faa3f067f826126534f7ae6b75958d1806bcd85ee94ccf7663f1127
fgat-000169,168,validation,T1599.001,66d3c63230407b74facde54bf55970cb2dfbd883e4c35a26714500942eeca97c
fgat-000170,169,train,T1134,32e85f931b0cfa57fd40b78e1e4a5b8f754fc3d3e1f98cf1e7939ce87ab8e9ec
fgat-000171,170,train,T1036.008,e06008f9c4d6fe27e5a49ec0373d2a5334e9c25898c9fae2cd6d84d06dca945d
fgat-000172,171,train,T1189,58c3d7cb44e40f09188ca7ccad365259db7d3403f75d5a002651097a7259fbf3
fgat-000173,172,train,T1543.005,43cc4ff85fb1083e2254e5485d93ab13cb7a804b20474f9c135e98a7d00e4536
fgat-000174,173,train,T1550.003,a7f188b4be312a5a179955013f2ceb4256f5a19d8e172f666980b249609a71b6
fgat-000175,174,train,T1480,7e9a64f2be2e9f99f4bb7833ed65edadc01ee96134c7badd32174949b7b93804
fgat-000176,175,validation,T1557.001,c45e24a03f6492f8eec4d64edce8baa833dec6aabd16c6f265606ad714b5f668
fgat-000177,176,train,T1573.001,3ede6437b0a2eb5a66879925da81541879b0fd47dc92707a7ae6de308be54f56
fgat-000178,177,train,T1573.002,0cf563fd0856d1b010e3dc0130a9c123b39cbb933ce7f7eb7c796725ba020067
fgat-000179,178,train,T1083,7d1ffeab34f5c410ff153424c406cf0b6ce0037957ed9f2fb0d5be3d4181fb13
fgat-000180,179,train,T1027.001,0a6516db586d551da16963105fbc99d7c5b1fcdb3838d645622a7c13fad0cc17
fgat-000181,180,validation,T1012,5b3f64205f4359d1f0cf190cdc965f1477c2c3c795dddffbb83ac0136d5447d3
fgat-000182,181,train,T1113,68878e4c408029d37a883ef313af852eabcf5602681f11e86446da4d13df2759
fgat-000183,182,train,T1055.004,4797a9315e5c4b2957a6cc04f964d5076782646b0871fbe2397439ad04af05e4
fgat-000184,183,train,T1090.004,79d2e66ee35c0bed4a2c324152fa17ca889972e8f2d1794e17c08823b7e9fb03
fgat-000185,184,train,T1535,3471014edd8bb8684193ce29a1057f95a13322de5b8dfa8f4d31cf6225997611
fgat-000186,185,train,T1137,8ecda0246dca353cf33cbe1597a607d238249cb7a99ac569387cc13255bbaac9
fgat-000187,186,train,T1586,d0288298286678fb8733851ac6614aa0a3893ce20876d6ca3eab624ae878354e
fgat-000188,187,train,T1586.003,a953e419ba9001e31fd203752e4e11ce63e089cabf4f44b3cfad29aed33185dd
fgat-000189,188,validation,T1586.002,ad41c8ab5875b82daa02f452aa51869681c7ca7121697f6585cabe04048fa897
fgat-000190,189,train,T1586.001,27efa9b05216dbc74b2f854eb909f7023b25438c94063d20ec0050d62b50cf33
fgat-000191,190,train,T1650,e05c83f87f0f35205fef447a4a6da8770f6b421203536f4f9125bc722c5fcf5f
fgat-000192,191,train,T1583.006,3ab101955315fef424d2c76d4bcd2c372d36244ba77107f38111018a7afc4459
fgat-000193,192,train,T1584.006,03a7b471fcf652f547c44349a542854f9b0c51649e7dce449fdc5b962c0016cb
fgat-000194,193,train,T1027.002,d132cae74b7f139120b8f7f0fe90fc97e9ffbdcfe7c4a6305e457b01332a6cf2
fgat-000195,194,test,T1547.009,43276a38f7db80a33a90492bf57d252b533b8a497fe962e6cfb4bfcb3023e198
fgat-000196,195,train,T1547.001,57413b80d58080cf16d0beff677128aaeea69ff7f2996c99f1c9c7a76a1d0de0
fgat-000197,196,train,T1083,6d648b82c840748d0e458ed69d1a55a6e136f5df1ecfab26a28af6c58a2ff68e
fgat-000198,197,train,T1127.001,2c551ef54ecdf8635e26b824dfa3197275a3789c01e4d8ec2b4ca009abf333c3
fgat-000199,198,train,T1027.001,b901481661dd0ed8b3bd9eac9df52f473959365f41a2b555cd277f17f0cba20b
fgat-000200,199,validation,T1027,70e326e13c0b23d484781e193c3c55bc940f2e40bb8cee74e8e18a5015dcb43b
fgat-000201,200,validation,T1036.007,0a019ff720c8c1e4e2b307af832e879f3c6c09e72da82e3b3e97d66f71c5e0d7
fgat-000202,201,train,T1055.012,14eb998e3564d777613750450055a8889a9ead36dbb11022301b73389876a76c
fgat-000203,202,train,T1027.002,fba3e7bf079276af8489accbb5f02625b46192ce3026774c496cd67201f61dad
fgat-000204,203,train,T1588.006,6f74b34fa1ef9c30c94cc73a076317fa10149e5be7a6e7786399673f0e3082fc
fgat-000205,204,train,T1505.003,d728bff2df387c786728d7736ed0bc8810641cb7601afa27a415822eea5f426e
fgat-000206,205,train,T1543.003,fb0e1ea043b21a66385afbbeb46f189d0d6ae567bc85508f4785c6112b2f9c6d
fgat-000207,206,train,T1583,4a7a41a3fc7aacc47553560a28b3a78bea6f264f28b46a34338330357267d814
fgat-000208,207,train,T1564.006,11c1f97bb6083d51e055d02b202d08dfb962415db0735882c10bd0ef30e3229d
fgat-000209,208,test,T1484.002,b1741f0b53810c4d2456bc3418a7436b3602d34b9961f35697886aee4b8004b2
fgat-000210,209,train,T1606.002,d3d27c1469a95c5cb28acccb488731b0f1b5ae3ecdec123be5533190f09cf55d
fgat-000211,210,validation,T1558.002,8bb85653e988b963ec2ce81a6f407291a02f7f7a155be3c08c748fe0eac1add2
fgat-000212,211,train,T1589.002,62e1380f82887db2bf3061b908193b459d7a007973e148b9b569c54ad057d54b
fgat-000213,212,train,T1530,483434bc402755ec13b5360981bcb56014ff7363b0b686ca6c17284d69a023c3
fgat-000214,213,train,T1484.002,0813559d3871ba8cc1006962c408f8359e0c6831b9e0d56ac4f41f51ee5a3849
fgat-000215,214,train,T1649,937c05fc2f3e0b9bc0f7ab11d77d478df34a2add6a1726a75d62c44d07136d8f
fgat-000216,215,train,T1136.003,5504b680025d4f0cf6ee7d3154bf3f9e85e9c9ea40194baf1edef0a4ea84738c
fgat-000217,216,train,T1048,f38b73856a4e744e73be780d49850ec2fb3f3c2e11c630b0f9ba786ef8875644
fgat-000218,217,validation,T1003.004,8eae978257e30104f794e0b12cda845c3dcddc007231671b3ae31233f6b909f3
fgat-000219,218,test,T1069.003,809567d861ad791a68190d1b6afd8936fe28686c0ec2504d62f603ef7527af9e
fgat-000220,219,train,T1087.004,373d1b4af95a1168b8a4ed6d61ea417374a261959cfd9ee8132cb3f2e3cba43c
fgat-000221,220,train,T1526,0cdb42e85ebf3991aaa8d3b412d05cb2df57664b28f49e2bf74426cc79a4d156
fgat-000222,221,validation,T1651,3ca2f7a5c43c072ddf34edb1644ac00ecdcfe8e3d93cbdcdcea612ab87b26242
fgat-000223,222,train,T1552.004,2e4b8a443c0342496046067759e90c6ae9749ee004becbcc22b803b200162ad7
fgat-000224,223,train,T1590.001,eea3e08e8eab5ad9332a391c35c489a17d41f67210a19f6ec4b49d9c03681e11
fgat-000225,224,train,T1552.001,48e062f597be6b04a87715f612b54f1481500e275bae931141d48c27ad77203f
fgat-000226,225,train,T1556.007,6949cf1fa8f6d94bb649e444bf73a6c7f97f9ac883bdaaac212690af0652118e
fgat-000227,226,train,T1112,76ffcce62e0e3e14c0494215094f4add9b1f4533d9497af1463d598e144f72c5
fgat-000228,227,train,T1098.005,ad23dd8c398a32ec0b7b7dea4e0583b2055a3a097f7876c22c092a212fddf1b4
fgat-000229,228,train,T1566.002,475967d593981d192e303632f407653a84aa113502214f2fe9e25933b029e0c2
fgat-000230,229,train,T1598.003,5dec8c8dbce8a05da75468ec48d77e441add9cb6f618a4fc919c96a953909f05
fgat-000231,230,validation,T1528,aa103591332a16681ed4d296512045ff3fbe31f86b87ba8345901c96196a785a
fgat-000232,231,train,T1059.001,c87cd2f7bba728342121029c7cd2f08da6adc404d7c6c50fa4fc13d964223aed
fgat-000233,232,train,T1027.003,5dae8aab82e91f6b0dced23e61ce1b402c559714050d0cc2a946c9e8390910f8
fgat-000234,233,train,T1140,1ff5a193466aeac166191c2e703b1608ad1d356a1f6f40026cfe6e66c5a15222
fgat-000235,234,train,T1105,f1c522c17068369ecb34f3cadf377d4b0014f083f4470ecf8c33505d81e98110
fgat-000236,235,train,T1518.001,372d043015f55651a68ee76522dd1932ec6e55907ec7655ee45af8d469b6b7a0
